
TMG Timing block information
============================

======================================== ============= =================================
Filename                                 Block Number  Block Label
======================================== ============= =================================
adjointTest.f90                          0             Main                          
analysisErrorOI.f90                      0             Main                          
calcStats.f90                            0             Main                          
diagBmatrix.f90                          0             Main                          
diagHBHt.f90                             0             Main                          
ensembleH.f90                            0             Main                          
ensPostProcess.f90                       0             Main                          
extractBmatrixFor1Dvar.f90               0             Main                          
genCoeff.f90                             0             Main                          
letkf.f90                                0             Main                          
obsImpact.f90                            0             Main                          
obsSelection.f90                         0             Main                          
oMinusF.f90                              0             Main                          
prepcma.f90                              0             Main                          
pseudoSSTobs.f90                         0             Main                          
randomPert.f90                           0             Main                          
SSTbias.f90                              0             Main                          
SSTtrial.f90                             0             Main                          
thinning.f90                             0             Main                          
var1D.f90                                0             Main                          
var.f90                                  0             Main                          
gridstatevectorFileIO_mod.f90            1             --ReadTrials                  
ensembleH.f90                            2             --ReadEnsemble                
ensPostProcess.f90                       2             --ReadEnsemble                
letkf.f90                                2             --ReadEnsemble                
enspostprocess_mod.f90                   3             --WriteEnsemble               
letkf.f90                                3             --WriteEnsemble               
enspostprocess_mod.f90                   4             --AddEnsRandomPert            
enspostprocess_mod.f90                   5             --WriteEnsMeanRms             
ensembleobservations_mod.f90             10            --Observations                
fsoi_mod.f90                             10            --Observations                
innovation_mod.f90                       10            --Observations                
minimization_mod.f90                     10            --Observations                
obsfiles_mod.f90                         10            --Observations                
prepcma.f90                              10            --Observations                
thinning.f90                             10            --Observations                
innovation_mod.f90                       11            ----ReadObsFiles              
prepcma.f90                              11            ----ReadObsFiles              
thinning.f90                             11            ----ReadObsFiles              
burpfiles_mod.f90                        12            ----UpdateBurpFile            
sqlitefiles_mod.f90                      13            ----UpdateSqliteFile          
obsdbfiles_mod.f90                       14            ----UpdateObsDBfile           
tovs_nl_mod.f90                          16            ----RttovSetup                
innovation_mod.f90                       17            ----ObsOper_NL                
fsoi_mod.f90                             18            ----ObsOper_TL                
minimization_mod.f90                     18            ----ObsOper_TL                
fsoi_mod.f90                             19            ----ObsOper_AD                
minimization_mod.f90                     19            ----ObsOper_AD                
rmatrix_mod.f90                          20            ----RmatMatSqrt               
rmatrix_mod.f90                          21            ----RmatMatMult               
obsfilter_mod.f90                        22            ----ObsFiltSuprep             
obsfiles_mod.f90                         23            ----ObsFileClean              
ensembleobservations_mod.f90             24            ----Eob_AllGather             
obsOperatorsChem_mod.f90                 30            --StateToColumn               
statetocolumn_mod.f90                    30            --StateToColumn               
statetocolumn_mod.f90                    31            ----s2c_Setups                
statetocolumn_mod.f90                    32            ------s2c_Slant               
statetocolumn_mod.f90                    33            ------s2c_SetupWeights        
statetocolumn_mod.f90                    34            ----s2c_NL                    
statetocolumn_mod.f90                    35            ------s2c_NL_Hinterp          
statetocolumn_mod.f90                    36            ------s2c_NL_allToAll         
statetocolumn_mod.f90                    37            ----s2c_TL                    
statetocolumn_mod.f90                    38            ------s2c_TL_Hinterp          
statetocolumn_mod.f90                    39            ----s2c_AD                    
statetocolumn_mod.f90                    40            ------s2c_AD_Hinterp          
bmatrix1DVar_mod.f90                     50            --Bmatrix                     
bmatrix_mod.f90                          50            --Bmatrix                     
bmatrix1DVar_mod.f90                     51            ----B_HI_Setup                
bmatrix1DVar_mod.f90                     52            ----B_HI_TL                   
bmatrix_mod.f90                          52            ----B_HI_TL                   
bmatrix1DVar_mod.f90                     53            ----B_HI_AD                   
bmatrix_mod.f90                          53            ----B_HI_AD                   
bmatrix1DVar_mod.f90                     54            ----B_ENS_Setup               
bmatrixensemble_mod.f90                  54            ----B_ENS_Setup               
